# Pin Out For LIFCL-17,,,,,,,,,,
"# Revision 0.9, Aug 04, 2020: Intial Release",,,,,,,,,,
"# Revision 0.91, Aug 12, 2020: Corrected VCCAUXH3/4/5",,,,,,,,,,
"# Revision 0.92, Oct 26, 2020:  Removed referrences to PMU",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PADN,FNC,BANK,DQS,CFG,LVDS,HIGHSPEED,CSFBGA121,WLCSP72,QFN72,CABGA256
0,VSS,-,-,-,-,-,F9,H8,-,T16
0,VSS,-,-,-,-,-,H9,D5,-,D14
0,VSS,-,-,-,-,-,H6,H5,-,J14
0,VSS,-,-,-,-,-,D3,A1,-,P13
0,VSS,-,-,-,-,-,F3,F1,-,F12
0,VSS,-,-,-,-,-,J3,-,-,C10
0,VSS,-,-,-,-,-,-,-,-,C9
0,VSS,-,-,-,-,-,-,-,-,H9
0,VSS,-,-,-,-,-,-,-,-,J9
0,VSS,-,-,-,-,-,-,-,-,D8
0,VSS,-,-,-,-,-,-,-,-,E8
0,VSS,-,-,-,-,-,-,-,-,G8
0,VSS,-,-,-,-,-,-,-,-,H8
0,VSS,-,-,-,-,-,-,-,-,J8
0,VSS,-,-,-,-,-,-,-,-,E7
0,VSS,-,-,-,-,-,-,-,-,J7
0,VSS,-,-,-,-,-,-,-,-,N7
0,VSS,-,-,-,-,-,-,-,-,M5
0,VSS,-,-,-,-,-,-,-,-,G2
0,VSS,-,-,-,-,-,-,-,-,T1
0,VCC,-,-,-,-,-,E9,H9,-,J10
0,VCC,-,-,-,-,-,F4,C5,-,D9
0,VCC,-,-,-,-,-,-,D4,-,D7
0,VCC,-,-,-,-,-,-,-,-,H7
0,VCC,-,-,-,-,-,F8,-,-,K9
0,VCCAUX,-,-,-,-,-,G3,E6,-,F8
0,VCCAUX,-,-,-,-,-,-,C1,-,G7
0,VCCAUX,-,-,-,-,-,-,-,-,F7
0,VCCAUXH3,3,-,-,-,-,H3,H4,-,K10
0,VCCAUXH4,4,-,-,-,-,G6,-,-,K8
0,VCCAUXH5,5,-,-,-,-,G9,H7,-,M6
0,VCCIO0,0,-,-,-,-,D4,A2,-,D13
0,VCCIO1,1,-,-,-,-,D2,E1,-,F13
0,VCCIO3,3,-,-,-,-,K3,H3,-,P12
0,VCCIO4,4,-,-,-,-,J6,-,-,N6
0,VCCIO5,5,-,-,-,-,J9,H6,-,N5
0,VSSADPHY,-,-,-,-,-,F11,-,-,A8
0,VSSADPHY,-,-,-,-,-,C9,-,-,B8
0,VSSADPHY,-,-,-,-,-,C7,-,-,C6
0,VSSADPHY,-,-,-,-,-,C5,-,-,C3
0,VSSADPHY,-,-,-,-,-,B4,-,-,D3
0,VSSADPHY,-,-,-,-,-,-,-,-,F3
0,VSSADPHY,-,-,-,-,-,-,-,-,A1
0,VSSADPHY0,-,-,-,-,-,-,D9,-,-
0,VSSADPHY0,-,-,-,-,-,-,D7,-,-
0,VSSADPHY0,-,-,-,-,-,-,B6,-,-
0,VCCADPHY1,61,-,-,-,-,A4,-,-,C8
0,VCCDPHY1,61,-,-,-,-,C4,-,-,C7
0,VCCPLLDPHY1,61,-,-,-,-,C6,-,-,C5
0,VCCADPHY0,60,-,-,-,-,F10,D8,-,E3
0,VCCDPHY0,60,-,-,-,-,D9,A7,-,C4
0,VCCPLLDPHY0,60,-,-,-,-,C8,A6,-,A2
0,VCCADC18,70,-,-,-,-,-,-,-,L14
0,VSSADC,70,-,-,-,-,-,-,-,L13
0,VSSADPHY,70,-,-,-,-,-,-,-,G1
0,NC,-,-,-,-,-,-,-,-,A10
0,NC,-,-,-,-,-,-,-,-,A11
0,NC,-,-,-,-,-,-,-,-,A12
0,NC,-,-,-,-,-,-,-,-,A13
0,NC,-,-,-,-,-,-,-,-,A14
0,NC,-,-,-,-,-,-,-,-,A15
0,NC,-,-,-,-,-,-,-,-,A16
0,NC,-,-,-,-,-,-,-,-,A9
0,NC,-,-,-,-,-,-,-,-,B10
0,NC,-,-,-,-,-,-,-,-,B11
0,NC,-,-,-,-,-,-,-,-,B12
0,NC,-,-,-,-,-,-,-,-,B13
0,NC,-,-,-,-,-,-,-,-,B14
0,NC,-,-,-,-,-,-,-,-,B15
0,NC,-,-,-,-,-,-,-,-,B9
0,NC,-,-,-,-,-,-,-,-,C11
0,NC,-,-,-,-,-,-,-,-,D4
0,NC,-,-,-,-,-,-,-,-,D5
0,NC,-,-,-,-,-,-,-,-,D6
0,NC,-,-,-,-,-,-,-,-,E10
0,NC,-,-,-,-,-,-,-,-,E12
0,NC,-,-,-,-,-,-,-,-,E13
0,NC,-,-,-,-,-,-,-,-,E4
0,NC,-,-,-,-,-,-,-,-,E5
0,NC,-,-,-,-,-,-,-,-,E6
0,NC,-,-,-,-,-,-,-,-,E9
0,NC,-,-,-,-,-,-,-,-,F10
0,NC,-,-,-,-,-,-,-,-,F4
0,NC,-,-,-,-,-,-,-,-,F5
0,NC,-,-,-,-,-,-,-,-,F6
0,NC,-,-,-,-,-,-,-,-,F9
0,NC,-,-,-,-,-,-,-,-,G14
0,NC,-,-,-,-,-,-,-,-,G16
0,NC,-,-,-,-,-,-,-,-,G3
0,NC,-,-,-,-,-,-,-,-,G4
0,NC,-,-,-,-,-,-,-,-,G5
0,NC,-,-,-,-,-,-,-,-,G6
0,NC,-,-,-,-,-,-,-,-,H1
0,NC,-,-,-,-,-,-,-,-,H10
0,NC,-,-,-,-,-,-,-,-,H11
0,NC,-,-,-,-,-,-,-,-,H12
0,NC,-,-,-,-,-,-,-,-,H13
0,NC,-,-,-,-,-,-,-,-,H14
0,NC,-,-,-,-,-,-,-,-,H15
0,NC,-,-,-,-,-,-,-,-,H16
0,NC,-,-,-,-,-,-,-,-,H2
0,NC,-,-,-,-,-,-,-,-,H3
0,NC,-,-,-,-,-,-,-,-,H4
0,NC,-,-,-,-,-,-,-,-,H5
0,NC,-,-,-,-,-,-,-,-,H6
0,NC,-,-,-,-,-,-,-,-,J1
0,NC,-,-,-,-,-,-,-,-,J11
0,NC,-,-,-,-,-,-,-,-,J12
0,NC,-,-,-,-,-,-,-,-,J13
0,NC,-,-,-,-,-,-,-,-,J15
0,NC,-,-,-,-,-,-,-,-,J16
0,NC,-,-,-,-,-,-,-,-,J2
0,NC,-,-,-,-,-,-,-,-,J3
0,NC,-,-,-,-,-,-,-,-,J4
0,NC,-,-,-,-,-,-,-,-,J5
0,NC,-,-,-,-,-,-,-,-,J6
0,NC,-,-,-,-,-,-,-,-,K1
0,NC,-,-,-,-,-,-,-,-,K11
0,NC,-,-,-,-,-,-,-,-,K12
0,NC,-,-,-,-,-,-,-,-,K2
0,NC,-,-,-,-,-,-,-,-,K3
0,NC,-,-,-,-,-,-,-,-,K4
0,NC,-,-,-,-,-,-,-,-,K5
0,NC,-,-,-,-,-,-,-,-,K6
0,NC,-,-,-,-,-,-,-,-,L1
0,NC,-,-,-,-,-,-,-,-,L10
0,NC,-,-,-,-,-,-,-,-,L11
0,NC,-,-,-,-,-,-,-,-,L12
0,NC,-,-,-,-,-,-,-,-,L2
0,NC,-,-,-,-,-,-,-,-,L8
0,NC,-,-,-,-,-,-,-,-,L9
0,NC,-,-,-,-,-,-,-,-,M1
0,NC,-,-,-,-,-,-,-,-,M10
0,NC,-,-,-,-,-,-,-,-,M11
0,NC,-,-,-,-,-,-,-,-,M12
0,NC,-,-,-,-,-,-,-,-,M13
0,NC,-,-,-,-,-,-,-,-,M2
0,NC,-,-,-,-,-,-,-,-,M8
0,NC,-,-,-,-,-,-,-,-,M9
0,NC,-,-,-,-,-,-,-,-,N10
